work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_size
2024,SE,Machine Learning Engineer,200000,0,M
2024,SE,Machine Learning Engineer,160000,0,M
2024,MI,Data Scientist,172000,0,M
2024,MI,Data Scientist,75600,0,M
2024,MI,Data Engineer,152800,0,M
2024,MI,Data Engineer,149282,0,M
2024,SE,Machine Learning Engineer,264500,100,M
2024,SE,Machine Learning Engineer,165600,100,M
2024,MI,Data Scientist,228000,0,M
2024,MI,Data Scientist,134000,0,M
2024,SE,Data Engineer,155000,0,M
2024,SE,Data Engineer,139500,0,M
2024,MI,Data Engineer,140000,0,M
2024,MI,Data Engineer,100000,0,M
2024,SE,Data Engineer,205000,100,M
2024,SE,Data Engineer,155000,100,M
2024,SE,Data Scientist,208500,0,M
2024,SE,Data Scientist,174000,0,M
2024,SE,Data Engineer,170000,0,M
2024,SE,Data Engineer,130000,0,M
2024,MI,Data Engineer,90000,0,M
2024,MI,Data Engineer,70000,0,M
2024,SE,Data Scientist,239000,100,M
2024,SE,Data Scientist,159000,100,M
2024,SE,Data Engineer,145000,0,M
2024,SE,Data Engineer,115000,0,M
2024,SE,Data Engineer,185000,0,M
2024,SE,Data Engineer,160000,0,M
2024,SE,Data Engineer,122000,0,M
2024,SE,Data Engineer,94500,0,M
2024,MI,Data Analyst,152300,0,M
2024,MI,Data Analyst,76200,0,M
2024,MI,Data Analyst,70000,100,M
2024,MI,Data Analyst,51000,100,M
2024,SE,Machine Learning Engineer,223000,0,M
2024,SE,Machine Learning Engineer,185000,0,M
2024,MI,Data Engineer,155000,0,M
2024,MI,Data Engineer,120000,0,M
2024,SE,Data Scientist,213000,0,M
2024,SE,Data Scientist,120700,0,M
2024,MI,Data Engineer,128000,0,M
2024,MI,Data Engineer,81500,0,M
2024,MI,Data Analyst,148017,0,M
2024,MI,Data Analyst,87069,0,M
2024,SE,Data Engineer,175000,0,M
2024,SE,Data Engineer,117000,0,M
2024,MI,Data Analyst,120000,0,M
2024,MI,Data Analyst,105000,0,M
2024,SE,Data Engineer,234000,0,M
2024,SE,Data Engineer,117000,0,M
2024,SE,Data Analyst,185100,0,M
2024,SE,Data Analyst,148500,0,M
2024,SE,Data Analyst,147000,100,M
2024,SE,Data Analyst,92000,100,M
2024,SE,Data Analyst,130000,100,M
2024,SE,Data Analyst,100000,100,M
2024,SE,Data Scientist,173400,100,M
2024,SE,Machine Learning Engineer,220000,0,M
2024,SE,Data Engineer,247300,0,M
2024,SE,Data Engineer,139800,0,M
2024,SE,Data Scientist,213000,0,M
2024,SE,Data Scientist,120700,0,M
2024,SE,Data Engineer,172000,100,M
2024,SE,Data Engineer,141000,100,M
2024,SE,Data Engineer,135000,0,M
2024,SE,Data Engineer,115000,0,M
2024,SE,Data Engineer,130000,0,M
2024,SE,Data Engineer,100000,0,M
2024,SE,Data Scientist,240901,100,M
2024,SE,Data Scientist,168630,100,M
2024,MI,Data Analyst,100000,0,M
2024,MI,Data Analyst,90000,0,M
2024,SE,Data Scientist,202500,0,M
2024,SE,Data Scientist,135000,0,M
2024,MI,Data Engineer,159550,0,M
2024,MI,Data Engineer,113000,0,M
2024,SE,Data Engineer,120750,0,M
2024,SE,Data Engineer,85000,0,M
2024,SE,Data Analyst,144606,0,M
2024,SE,Data Analyst,128539,0,M
2024,MI,Data Engineer,131700,0,M
2024,MI,Data Engineer,84000,0,M
2024,MI,Data Analyst,179000,0,M
2024,MI,Data Analyst,112000,0,M
2024,SE,Data Analyst,194000,0,M
2024,SE,Data Analyst,122000,0,M
2024,MI,Data Scientist,99000,0,M
2024,MI,Data Scientist,87000,0,M
2024,MI,Machine Learning Engineer,176000,0,M
2024,MI,Machine Learning Engineer,72700,0,M
2024,MI,Data Engineer,145000,0,M
2024,MI,Data Engineer,120000,0,M
2024,SE,Data Analyst,114200,0,M
2024,SE,Data Analyst,92900,0,M
2024,SE,Data Engineer,219700,0,M
2024,SE,Data Engineer,137300,0,M
2024,SE,Data Analyst,95000,0,M
2024,SE,Data Analyst,85000,0,M
2024,MI,Data Scientist,187000,0,M
2024,MI,Data Scientist,153000,0,M
2024,MI,Data Scientist,130500,0,M
2024,MI,Data Scientist,96000,0,M
2024,SE,Data Engineer,153000,100,M
2024,SE,Data Engineer,122000,100,M
2024,MI,Data Scientist,170000,100,M
2024,MI,Data Scientist,100000,100,M
2024,SE,Data Scientist,208000,0,M
2024,SE,Data Scientist,175000,0,M
2024,SE,Data Scientist,239000,0,M
2024,SE,Data Scientist,177000,0,M
2024,SE,Data Engineer,135000,100,M
2024,SE,Data Engineer,110000,100,M
2024,MI,Data Scientist,177300,0,M
2024,MI,Data Scientist,136300,0,M
2024,SE,Data Scientist,250944,100,M
2024,SE,Data Scientist,178538,100,M
2024,SE,Data Scientist,180000,100,M
2024,SE,Data Scientist,140000,100,M
2024,SE,Data Engineer,250000,100,M
2024,SE,Data Engineer,180700,100,M
2024,SE,Data Analyst,140000,0,M
2024,SE,Data Analyst,107000,0,M
2024,MI,Data Analyst,155700,0,M
2024,MI,Data Analyst,75500,0,M
2024,MI,Data Scientist,172000,0,M
2024,MI,Data Scientist,75600,0,M
2024,SE,Data Analyst,190000,0,M
2024,SE,Data Analyst,152000,0,M
2024,MI,Data Analyst,84105,0,M
2024,MI,Data Analyst,76095,0,M
2024,SE,Data Engineer,143706,100,M
2024,SE,Data Engineer,84533,100,M
2024,SE,Data Analyst,165000,100,M
2024,SE,Data Analyst,165000,100,M
2024,MI,Data Scientist,80000,0,M
2024,MI,Data Scientist,52500,0,M
2024,SE,Data Scientist,213000,0,M
2024,SE,Data Scientist,120700,0,M
2024,SE,Data Scientist,200000,100,M
2024,SE,Data Scientist,160000,100,M
2024,SE,Machine Learning Engineer,169200,0,M
2024,SE,Machine Learning Engineer,130100,0,M
2024,MI,Data Engineer,136400,100,M
2024,MI,Data Engineer,77000,100,M
2024,SE,Machine Learning Engineer,179000,0,M
2024,SE,Machine Learning Engineer,140000,0,M
2024,SE,Data Scientist,247600,0,L
2024,SE,Data Scientist,127300,0,L
2024,SE,Data Scientist,209000,0,M
2024,SE,Data Scientist,171000,0,M
2024,SE,Data Scientist,243000,0,M
2024,SE,Data Scientist,192000,0,M
2024,SE,Data Analyst,160000,0,M
2024,SE,Data Analyst,128000,0,M
2024,SE,Data Engineer,178500,0,M
2024,SE,Data Engineer,156312,0,M
2024,MI,Machine Learning Engineer,208200,100,M
2024,MI,Machine Learning Engineer,124900,100,M
2024,MI,Data Engineer,300000,0,M
2024,MI,Data Engineer,130000,0,M
2024,SE,Machine Learning Engineer,213500,0,M
2024,SE,Data Engineer,185000,0,M
2024,SE,Data Engineer,102600,0,M
2024,MI,Data Engineer,110000,0,M
2024,MI,Data Engineer,90000,0,M
2024,MI,Data Engineer,108600,100,M
2024,MI,Data Engineer,74400,100,M
2024,MI,Data Scientist,172000,0,M
2024,MI,Data Scientist,75600,0,M
2024,MI,Machine Learning Engineer,265400,0,M
2024,MI,Machine Learning Engineer,127400,0,M
2024,MI,Data Scientist,155000,0,M
2024,MI,Data Scientist,135000,0,M
2024,SE,Data Engineer,220000,0,M
2024,SE,Data Engineer,137500,0,M
2024,MI,Data Scientist,165000,0,M
2024,MI,Data Scientist,110000,0,M
2024,MI,Data Analyst,101081,0,M
2024,MI,Data Analyst,78108,0,M
2024,SE,Machine Learning Engineer,159000,0,M
2024,SE,Data Engineer,277000,0,M
2024,SE,Data Engineer,173000,0,M
2024,MI,Data Engineer,137000,0,M
2024,MI,Data Engineer,60300,0,M
2024,MI,Data Scientist,225000,0,M
2024,MI,Data Scientist,200000,0,M
2024,SE,Data Analyst,180500,0,M
2024,SE,Data Analyst,96200,0,M
2024,MI,Machine Learning Engineer,245400,0,M
2024,MI,Machine Learning Engineer,139000,0,M
2024,SE,Machine Learning Engineer,208500,0,M
2024,SE,Machine Learning Engineer,100100,0,M
2024,SE,Data Analyst,110000,100,M
2024,SE,Data Analyst,100000,100,M
2024,SE,Data Scientist,230300,0,M
